total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,date
154852,2298,0.0,0.0,0.0,2020-12-08
152239,2233,0.0,0.0,0.0,2020-12-07
150353,2174,0.0,0.0,0.0,2020-12-06
147454,2102,0.0,0.0,0.0,2020-12-05
143370,2032,0.0,0.0,0.0,2020-12-04
139415,1964,0.0,0.0,0.0,2020-12-03
192987,3101,0.0,0.0,0.0,2020-12-19
190235,3023,0.0,0.0,0.0,2020-12-18
186963,2955,0.0,0.0,0.0,2020-12-17
183045,2870,0.0,0.0,0.0,2020-12-16
179718,2778,0.0,0.0,0.0,2020-12-15
177358,2705,0.0,0.0,0.0,2020-12-14
175886,2640,0.0,0.0,0.0,2020-12-13
172523,2562,0.0,0.0,0.0,2020-12-12
204930,3671,0.0,0.0,0.0,2020-12-27
204312,3613,0.0,0.0,0.0,2020-12-26
203962,3548,0.0,0.0,0.0,2020-12-25
202319,3464,0.0,0.0,0.0,2020-12-24
200086,3394,0.0,0.0,0.0,2020-12-23
197323,3328,0.0,0.0,0.0,2020-12-22
195728,3257,0.0,0.0,0.0,2020-12-21
194962,3177,0.0,0.0,0.0,2020-12-20
214390,4179,0.0,0.0,0.0,2021-01-05
213319,4126,0.0,0.0,0.0,2021-01-04
212958,4072,0.0,0.0,0.0,2021-01-03
212262,4016,0.0,0.0,0.0,2021-01-02
212007,3961,0.0,0.0,0.0,2021-01-01
210837,3920,0.0,0.0,0.0,2020-12-31
208446,3860,0.0,0.0,0.0,2020-12-30
206596,3795,0.0,0.0,0.0,2020-12-29
205246,3739,0.0,0.0,0.0,2020-12-28
222117,4472,0.0,0.0,0.0,2021-01-13
220982,4446,0.0,0.0,0.0,2021-01-12
220223,4403,0.0,0.0,0.0,2021-01-11
219993,4368,0.0,0.0,0.0,2021-01-10
219347,4342,0.0,0.0,0.0,2021-01-09
217946,4304,0.0,0.0,0.0,2021-01-08
216848,4266,0.0,0.0,0.0,2021-01-07
216286,4223,0.0,0.0,0.0,2021-01-06
227326,4738,0.0,0.0,0.0,2021-01-21
226550,4711,0.0,0.0,0.0,2021-01-20
225648,4684,0.0,0.0,0.0,2021-01-19
225128,4655,0.0,0.0,0.0,2021-01-18
224954,4616,0.0,0.0,0.0,2021-01-17
224575,4588,0.0,0.0,0.0,2021-01-16
223812,4550,0.0,0.0,0.0,2021-01-15
223097,4517,0.0,0.0,0.0,2021-01-14
